From;To;Resources;tc_min;tc_max;c_exch_network
AT-CH-IT;BE-DE-LU-NL;ELECTRICITY;9.6;12.1;67.81183041
AT-CH-IT;FR;ELECTRICITY;7.25;7.55;47.06066093
BE-DE-LU-NL;AT-CH-IT;ELECTRICITY;9.6;12.1;67.81183041
BE-DE-LU-NL;DK-SE;ELECTRICITY;3.815;6.5;84.79005998
BE-DE-LU-NL;FR;ELECTRICITY;5.48;9.48;45.37276676
BE-DE-LU-NL;IE-UK;ELECTRICITY;2;3.4;84.83598024
DK-SE;BE-DE-LU-NL;ELECTRICITY;3.815;6.5;84.79005998
DK-SE;IE-UK;ELECTRICITY;0;1.4;168.8922474
ES-PT;FR;ELECTRICITY;2.8;5;109.4134573
FR;AT-CH-IT;ELECTRICITY;7.25;7.55;47.06066093
FR;BE-DE-LU-NL;ELECTRICITY;5.48;9.48;45.37276676
FR;ES-PT;ELECTRICITY;2.8;5;109.4134573
FR;IE-UK;ELECTRICITY;2;6.1;44.08202416
IE-UK;BE-DE-LU-NL;ELECTRICITY;2;3.4;84.83598024
IE-UK;DK-SE;ELECTRICITY;0;1.4;168.8922474
IE-UK;FR;ELECTRICITY;2;6.1;44.08202416
AT-CH-IT;BE-DE-LU-NL;GAS;30.02083333;30.021;12.83846154
AT-CH-IT;FR;GAS;4.166666667;4.167;8.615384615
BE-DE-LU-NL;AT-CH-IT;GAS;29.193;29.1933;12.83846154
BE-DE-LU-NL;DK-SE;GAS;6.9375;6.938;16.3
BE-DE-LU-NL;FR;GAS;61.25;61.255;8.269230769
BE-DE-LU-NL;IE-UK;GAS;54.05833333;54.0584;12.83076923
DK-SE;BE-DE-LU-NL;GAS;132.9233333;132.924;16.3
DK-SE;FR;GAS;23.75;23.751;24.40769231
DK-SE;IE-UK;GAS;62.4625;62.463;43.45384615
ES-PT;FR;GAS;9.35;9.351;21.31538462
FR;AT-CH-IT;GAS;10.85;10.851;8.615384615
FR;BE-DE-LU-NL;GAS;11.25;11.251;8.269230769
FR;ES-PT;GAS;6.875;6.876;21.31538462
IE-UK;BE-DE-LU-NL;GAS;27.15416667;27.155;12.83076923
AT-CH-IT;BE-DE-LU-NL;H2;0;13.25;16.69
AT-CH-IT;FR;H2;0;4.166666667;11.2
BE-DE-LU-NL;AT-CH-IT;H2;0;13.25;16.69
BE-DE-LU-NL;DK-SE;H2;0;12.08333334;21.19
BE-DE-LU-NL;FR;H2;0;18.45833334;10.75
BE-DE-LU-NL;IE-UK;H2;0;8.333333335;16.68
DK-SE;BE-DE-LU-NL;H2;0;12.08333334;21.19
DK-SE;FR;H2;0;0;31.73
DK-SE;IE-UK;H2;0;0;56.49
ES-PT;FR;H2;0;9;27.71
FR;AT-CH-IT;H2;0;4.166666667;11.2
FR;BE-DE-LU-NL;H2;0;18.45833334;10.75
FR;ES-PT;H2;0;9;27.71
IE-UK;BE-DE-LU-NL;H2;0;8.333333335;16.68
PT;ES;ELECTRICITY;0;15;15.33
ES;PT;ELECTRICITY;0;15;15.33
ES;FR;ELECTRICITY;0;15;15.33
FR;ES;ELECTRICITY;0;15;15.33
FR;GB;ELECTRICITY;0;15;15.33
FR;BE;ELECTRICITY;0;15;15.33
FR;LU;ELECTRICITY;0;15;15.33
FR;DE;ELECTRICITY;0;15;15.33
FR;CH;ELECTRICITY;0;15;15.33
FR;IT;ELECTRICITY;0;15;15.33
GB;IE;ELECTRICITY;0;15;15.33
GB;BE;ELECTRICITY;0;15;15.33
GB;NL;ELECTRICITY;0;15;15.33
GB;DK;ELECTRICITY;0;15;15.33
IE;GB;ELECTRICITY;0;15;15.33
BE;GB;ELECTRICITY;0;15;15.33
BE;NL;ELECTRICITY;0;15;15.33
BE;DK;ELECTRICITY;0;15;15.33
BE;LU;ELECTRICITY;0;15;15.33
BE;DE;ELECTRICITY;0;15;15.33
NL;GB;ELECTRICITY;0;15;15.33
NL;DK;ELECTRICITY;0;15;15.33
NL;BE;ELECTRICITY;0;15;15.33
NL;DE;ELECTRICITY;0;15;15.33
LU;FR;ELECTRICITY;0;15;15.33
LU;BE;ELECTRICITY;0;15;15.33
LU;DE;ELECTRICITY;0;15;15.33
DE;LU;ELECTRICITY;0;15;15.33
DE;BE;ELECTRICITY;0;15;15.33
DE;NL;ELECTRICITY;0;15;15.33
DE;DK;ELECTRICITY;0;15;15.33
DE;SE;ELECTRICITY;0;15;15.33
DE;PL;ELECTRICITY;0;15;15.33
DE;CZ;ELECTRICITY;0;15;15.33
DE;AT;ELECTRICITY;0;15;15.33
DE;CH;ELECTRICITY;0;15;15.33
DE;FR;ELECTRICITY;0;15;15.33
DK;BE;ELECTRICITY;0;15;15.33
DK;NL;ELECTRICITY;0;15;15.33
DK;SE;ELECTRICITY;0;15;15.33
DK;DE;ELECTRICITY;0;15;15.33
SE;DK;ELECTRICITY;0;15;15.33
SE;FI;ELECTRICITY;0;15;15.33
SE;EE;ELECTRICITY;0;15;15.33
SE;LV;ELECTRICITY;0;15;15.33
SE;LT;ELECTRICITY;0;15;15.33
SE;PL;ELECTRICITY;0;15;15.33
FI;SE;ELECTRICITY;0;15;15.33
FI;EE;ELECTRICITY;0;15;15.33
EE;FI;ELECTRICITY;0;15;15.33
EE;SE;ELECTRICITY;0;15;15.33
EE;LV;ELECTRICITY;0;15;15.33
LV;SE;ELECTRICITY;0;15;15.33
LV;EE;ELECTRICITY;0;15;15.33
LV;LT;ELECTRICITY;0;15;15.33
LT;SE;ELECTRICITY;0;15;15.33
LT;LV;ELECTRICITY;0;15;15.33
LT;PL;ELECTRICITY;0;15;15.33
PL;DE;ELECTRICITY;0;15;15.33
PL;SE;ELECTRICITY;0;15;15.33
PL;LT;ELECTRICITY;0;15;15.33
PL;SK;ELECTRICITY;0;15;15.33
PL;CZ;ELECTRICITY;0;15;15.33
CH;FR;ELECTRICITY;0;15;15.33
CH;DE;ELECTRICITY;0;15;15.33
CH;AT;ELECTRICITY;0;15;15.33
CH;IT;ELECTRICITY;0;15;15.33
IT;FR;ELECTRICITY;0;15;15.33
