From;To;Resources;OnM_cost_exchange
AT-CH-IT;BE-DE-LU-NL;ELECTRICITY;0.02
AT-CH-IT;FR;ELECTRICITY;0.016
BE-DE-LU-NL;AT-CH-IT;ELECTRICITY;0.02
BE-DE-LU-NL;DK-SE;ELECTRICITY;0.03
BE-DE-LU-NL;FR;ELECTRICITY;0.015
BE-DE-LU-NL;IE-UK;ELECTRICITY;0.013
DK-SE;BE-DE-LU-NL;ELECTRICITY;0.03
DK-SE;IE-UK;ELECTRICITY;0.03
ES-PT;FR;ELECTRICITY;0.04
FR;AT-CH-IT;ELECTRICITY;0.016
FR;BE-DE-LU-NL;ELECTRICITY;0.015
FR;ES-PT;ELECTRICITY;0.04
FR;IE-UK;ELECTRICITY;0.015
IE-UK;BE-DE-LU-NL;ELECTRICITY;0.013
IE-UK;DK-SE;ELECTRICITY;0.03
IE-UK;FR;ELECTRICITY;0.015
AT-CH-IT;BE-DE-LU-NL;GAS;3.12
AT-CH-IT;FR;GAS;2.09
BE-DE-LU-NL;AT-CH-IT;GAS;3.12
BE-DE-LU-NL;DK-SE;GAS;3.96
BE-DE-LU-NL;FR;GAS;2.01
BE-DE-LU-NL;IE-UK;GAS;2.37
DK-SE;BE-DE-LU-NL;GAS;3.96
DK-SE;FR;GAS;3.49
DK-SE;IE-UK;GAS;6.2
ES-PT;FR;GAS;5.17
FR;AT-CH-IT;GAS;2.09
FR;BE-DE-LU-NL;GAS;2.01
FR;ES-PT;GAS;5.17
IE-UK;BE-DE-LU-NL;GAS;2.37
